pressure_GPa,bond_mean,angle_mean
0,2.4677233026393726,99.73248777504588
1,2.4701002508331533,99.16400454587901
2,2.4719263195799965,98.76100360072925
3,2.47353793712505,98.46732224732412
4,2.475242376179706,98.24931266556666
5,2.4773389690053182,98.0836590409525
